about_property,address,allowed_floors,boundary_walls,plot_area,price,price_per,tranjection_type,width_facing_road
,"H. P, Eklingpura, Udaipur",3 Floors,Yes,(390.19 sq.m.), 25.2 Lac, 600 per sq.ft. ,,40.0 Feet
,"Heaven City, Nathdwara, Udaipur",,Yes,(92.9 sq.m.), 5.5 Lac, 550 per sq.ft. ,,
,"SOHAM CITY UDAIPUR, Near Gitanjali College, Udaipur",4 Floors,Yes,(83.61 sq.m.), 8.11 Lac, 901 per sq.ft.  ,,60.0 Feet
,"Shree Nakoda Parshvanath Vihar, Umarda, Udaipur",3 Floors,Yes,(102.19 sq.m.), 3.3 Lac, 300 per sq.ft.  ,,40.0 Feet
,"Bari, Udaipur",,Yes,(92.9 sq.m.), 18 Lac," 1,800 per sq.ft.  ",,60.0 Feet
,"Tirupati Farm House, Gotipa, Udaipur",,No,(929.03 sq.m.), 13 Lac, 130 per sq.ft.  ,,
,"Sector-14 Hiran Magri, Udaipur",,No,(139.35 sq.m.), 21.75 Lac," 1,450 per sq.ft. ",,
,"Pratap Nagar, Udaipur",0 Floors,No,(83.61 sq.m.), 27 Lac," 3,000 per sq.ft.  ",,
,"Kamli, Udaipur",,No,(140.28 sq.m.), 5.5 Lac, 365 per sq.ft. ,,
,"Ronak vihar 3, on highway, Udaipur",3 Floors,No,(167.23 sq.m.), 36 Lac," 2,000 per sq.ft.  ",,
,"Nakoda Nagar, Nakoda Nagar, Udaipur",3 Floors,Yes,(116.13 sq.m.), 31.9 Lac," 2,552 per sq.ft. ",,40.0 Feet
,"Sector 15 hiran magri, Udaipur",,No,(154.68 sq.m.), 17 Lac," 1,021 per sq.ft.  ",,
,"Titrdi, Udaipur",,No,(116.13 sq.m.), 30 Lac," 2,400 per sq.ft. ",,40.0 Feet
,"Sector-14 Hiran Magri, Udaipur",,No,(178.37 sq.m.), 85 Lac," 4,427 per sq.ft. ",,
,"Balicha, Udaipur",,No,(151.9 sq.m.), 29.5 Lac," 1,804 per sq.ft. ",,40.0 Feet
,"Gudli, Udaipur",,Yes,(92.9 sq.m.), 10 Lac," 1,000 per sq.ft. ",,
,"Debari, Udaipur",,No,(116.69 sq.m.), 13 Lac," 1,035 per sq.ft. ",,
,"Badgaon, Udaipur",0 Floors,No,(92.9 sq.m.), 6 Lac, 550 per sq.ft. ,,25.0 Feet
,"Umarda, Udaipur",1 Floors,Yes,(74.32 sq.m.), 4.5 Lac, 562 per sq.ft. ,,60.0 Feet
,"Ganpati vihar, Debari to Sukher bypass road, Udaipur",,No,(167.23 sq.m.), 27 Lac," 1,500 per sq.ft.  ",,
,"Prime Bunglows, Chitrakoot Nagar, Udaipur",2 Floors,No,(92.9 sq.m.), 32.5 Lac," 3,250 per sq.ft.  ",,200.0 Feet
,"New Parshwanath Nagar,Opp Cement Factory Udaipur, Dabok, Udaipur",2 Floors,No,(139.35 sq.m.), 4.5 Lac, 300 per sq.ft.  ,,
,"Manwakheda, Udaipur",,Yes,(222.97 sq.m.), 60 Lac," 2,500 per sq.ft.  ",,25.0 Feet
,"Sector-9 Udaipur, Udaipur",,Yes,(137.03 sq.m.), 22.5 Lac," 1,525 per sq.ft.  ",,
,"Mastaan Piya Colony, Malla Talai, Udaipur",,Yes,(94.76 sq.m.), 38 Lac," 3,725 per sq.ft. ",,
,"Lakhwali Plots, Lakhwali, Udaipur",3 Floors,No,(139.35 sq.m.), 5.51 Lac, 367 per sq.ft.  ,,30.0 Feet
,"Sector-14 Hiran Magiri, Udaipur",0 Floors,No,(92.9 sq.m.), 16.51 Lac," 1,651 per sq.ft.  ",,30.0 Feet
,"Sector-9 Udaipur, Udaipur",,Yes,(167.23 sq.m.), 52.6 Lac," 2,922 per sq.ft.  ",,
,"Sakroda, Udaipur",0 Floors,No,(74.32 sq.m.), 1.21 Lac, 151 per sq.ft. ,,
,"Subhash Nagar, Udaipur",,Yes,(357.68 sq.m.), 2.31 Crore," 6,000 per sq.ft. ",,
,"Navania, Udaipur",,Yes,(311.78 sq.m.), 15 Lac, 446 per sq.ft. ,,
,"Umarda, Udaipur",,No,(92.9 sq.m.), 6 Lac, 600 per sq.ft. ,,
,"Greater Kalesh Nagar badi, Bari, Udaipur",0 Floors,Yes,(92.9 sq.m.), 6 Lac, 600 per sq.ft. ,,
,"melody mata mandir, Savina Jogi Talaab Road, Udaipur",2 Floors,No,(139.35 sq.m.), 20.25 Lac," 1,350 per sq.ft.  ",,40.0 Feet
,"Dabok, Udaipur",,No,(199.28 sq.m.), 9.7 Lac, 453 per sq.ft. ,,
,"Dabok, Udaipur",,Yes,(92.9 sq.m.), 13 Lac," 1,300 per sq.ft. ",,
